Слово,Сумма_слов
раздробленность,121
коэффициент,104
половец,97
владимиро-суздальский,92
пропорциональность,69
Чернигов,63
вектор,63
каганат,62
кибернешка,54
долгорукий,53
хазарский,51
булгар,51
Угра,51
финно-угорский,50
Прибалтика,49
калка,44
межличностный,43
однодольный,42
Полоцкий,42
судебник,41
Переяславль,40
летописание,39
противоположно,37
гедимин,37
определительный,36
еретик,35
профессионализм,34
Поволжье,34
семядоля,33
улус,33
социально-бытовой,32
старославянизм,32
нестяжатель,31
шемяк,31
боярство,31
Галич,31
Волхов,30
Козельск,30
приставочно-суффиксальный,28
литовец,27
тохтамыш,27
вира,27
волынский,26
архаизм,26
садко,25
жаргонизм,24
Полоцк,24
иосифлянин,23
историзм,23
фитоценоз,23
грюнвальдский,23
тевтонский,23
зародышевый,23
любечий,22
вятич,22
темник,22
тысяцкий,21
орфограмма-буква,21
гуд,21
опричнина,21
конфликтный,21
западнорусский,21
джучить,20
подростковый,20
юродивый,20
династический,20
варяжский,20
околоцветник,20
старшинство,19
финно-угр,19
эмодзи,19
глобализация,19
Финно-Угра,19
вопросительно-относительный,19
ростово-суздальский,19
центрально-симметричный,19
курултай,18
жилкование,18
престолонаследие,18
мегабайт,18
темучин,18
норманн,18
отчин,18
рядович,17
монашеский,17
амплитуда,17
золотоордынский,17
балтский,17
индивид,17
вотчинник,17
Переяславль-Залесский,17
Флоренция,17
Тохтамыш,17
волоцкий,17
Каракорум,17
вервь,16
лидерство,16
суздалец,16
посполить,16
землевладение,16
генеративный,16
байт,16
заточник,16
глазомерный,16
Изборск,16
католик,16
антиордынский,15
централизация,15
стержневой,15
звенигородский,15
любечский,15
осмомысел,15
сорский,15
Медынь,15
рефлекс,15
курбский,15
чехлик,15
крестово-купольный,15
монголо-татарин,15
килобайт,15
местничество,15
газообмен,15
терроризм,14
Торжок,14
проекция,14
домонгольский,14
вожий,14
монголо-татарский,14
масштабный,14
серб,14
вотчинный,14
никуда,14
чадить,13
Балтика,13
осмомысл,13
османский,13
бессуффиксный,13
утопленница,13
модернизация,13
просрочка,13
черносошный,13
подсистема,13
подсечно-огневой,13
автокефалия,13
Можайск,13
мочковатый,13
Приуралье,13
аккаунт,13
вуз,13
запчасть,13
срединно-океанический,13
дьявол,13
водоупорный,13
кревский,13
суздальско-нижегородский,13
задонщина,12
шельф,12
тяглый,12
поднепровие,12
урок-практикум,12
галицко-волынский,12
розоцветный,12
поместный,12
контент,12
руслановый,12
прусс,12
бессознательный,12
социализация,12
реализация,12
муссон,12
пассивный,12
надсистема,12
древлянский,12
крестоцветный,12
эквивалентный,12
едигей,12
еле-еле,12
единственность,12
терминология,11
посадский,11
глагол-синоним,11
иерархический,11
русско-литовский,11
оптинский,11
граффити,11
Искоростень,11
ливонец,11
волынить,11
Ромск,11
белоозеро,11
Словена,11
литовско-русский,11
тычиночный,11
Новгород-Северский,11
скандинав,10
капище,10
почечка,10
зернь,10
межпластовой,10
трувор,10
транзитивность,10
биогеоценоз,10
местоимение-прилагательное,10
бриз,10
барбаросс,10
булгария,10
Плинф,10
ветроопыляемый,10
Нередица,10
сунгиря,10
отнюдь,10
численник,10
заимство,10
тюркоязычный,10
авар,10
владельческий,10
Балта,10
Иваново,10
доростол,10
Волынь,10
цветоножка,10
гнедич,10
общественно-политический,10
словен,10
турок-осман,10
черешковый,10
гонитель,10
демографический,9
хронограф,9
аэрофотоснимок,9
Каган,9
нормативный,9
зеница,9
блиц-турнир,9
изборник,9
пожечь,9
Синегорск,9
нахлебничество,9
позитивный,9
ополье,9
двуполье,9
синус,9
евразийский,9
иерархия,9
иерарх,9
симметричность,9
ООО,9
наследница,9
быличка,9
кое-как,9
лествица,9
мейоз,9
кейс,9
радзивиловский,9
киргиз,9
митоз,9
рыцарь-крестоносец,9
цельность,8
антипатия,8
антология,8
объект-оригинал,8
замятие,8
сложноподчинённый,8
радимич,8
компромисс,8
цветоносный,8
галичанин,8
приватность,8
клобук,8
хорват,8
нектарий,8
булгарский,8
тиун,8
новомученик,8
ничуть,8
скребицкий,8
гигабайт,8
норманист,8
пыльник,8
гексаэдр,8
трёхполье,8
геймер,8
папский,8
пасечник,8
двоеверие,8
латыш,8
юрьеве-польский,8
старицкий,8
столон,8
переложный,8
стоглавый,8
вольнодумец,8
Хорезм,8
ортоцентр,8
УАЗ,8
волостель,8
одноглавый,8
подоходный,8
рейтинг,8
ливовый,8
Менгли-Гирей,8
лествичный,8
