Слово,Сумма_слов
слово,4463
быть,1732
число,1619
записать,1531
буква,1422
прочитать,1351
предложение,1148
найти,1064
текст,985
человек,974
сантиметр,900
часть,891
значение,805
мочь,791
рисунок,790
земля,771
задача,770
день,718
звук,694
вода,693
составить,617
есть,607
выражение,607
дециметр,587
друг,573
сделать,570
год,564
вопрос,553
разный,530
длина,514
информация,514
решить,513
написать,503
списать,502
использовать,497
предмет,476
имя,475
ответ,451
назвать,447
помощь,442
подчеркнуть,441
животное,436
название,428
время,424
выполнить,423
сторона,421
объяснить,420
проверить,419
растение,413
знак,411
корень,405
солнце,402
получиться,386
книга,378
называть,377
рассмотреть,375
лист,373
метр,372
сравнить,366
орфограмма,366
узнать,365
действие,363
место,360
цвет,357
речь,353
лес,351
раз,351
знать,341
дерево,340
способ,336
форма,332
рассказать,328
сумма,328
бумага,323
жить,322
красный,322
группа,319
дом,317
язык,310
стать,308
выписать,303
пример,301
птица,301
работа,300
белый,297
запись,297
конец,290
обозначать,286
река,284
одинаковый,284
согласный,282
остаться,278
природа,276
делать,272
килограмм,271
гласный,270
цифра,270
правило,269
новый,268
вид,266
выбрать,264
определить,263
равный,262
фигура,258
тетрадь,255
лето,255
пара,254
отрезок,252
ребёнок,246
идти,246
точка,246
зелёный,242
иметь,241
получить,238
осень,236
мальчик,235
маленький,235
сказать,234
решение,228
поставить,227
квадрат,226
называться,226
нужный,225
прямоугольник,224
страна,224
единица,222
порядок,222
смысл,221
весна,219
существительное,219
вычислить,218
город,218
гора,218
зима,217
больший,217
жизнь,216
русский,215
снег,215
главный,214
линия,213
цепочка,208
море,208
окно,208
гриб,206
говорить,206
воздух,205
мягкий,204
компьютер,201
таблица,201
схема,198
проверочный,198
бывать,197
строка,196
деталь,195
мешок,193
равенство,193
признак,192
похожий,191
начало,191
девочка,190
небо,190
написание,189
мир,189
начертить,188
материал,187
взять,187
стихотворение,185
ответить,184
угол,183
большой,183
подобрать,183
ряд,183
помочь,181
обозначить,181
загадка,180
свет,180
словарь,180
увидеть,180
столбик,180
писать,179
поверхность,178
общий,178
класс,178
карандаш,178
однокоренной,178
школа,177
мама,176
синий,176
стоить,174
письмо,174
сказка,174
придумать,173
следующий,170
рассказ,168
слог,168
память,168
находиться,168
ветер,168
разность,167
видеть,166
бусина,165
луч,164
отметить,164
алгоритм,163
планета,163
утверждение,162
сложение,160
клетка,160
выделить,160
карта,160
треугольник,159
прилагательное,158
десяток,158
глагол,158
цветок,157
машина,157
верный,156
нарисовать,153
задание,153
играть,153
ребята,152
прямой,152
чёрный,151
пословица,149
периметр,149
пользоваться,149
океан,148
яблоко,147
россия,147
страница,146
ученик,145
думать,145
вставлять,145
показать,145
картина,144
документ,144
должный,142
являться,142
тело,141
край,141
ткань,140
жёлтый,139
данные,139
семя,139
образец,138
условие,138
учебник,138
читать,136
научиться,135
попробовать,135
вспомнить,134
сочетание,133
член,131
вывод,131
дождь,130
отрывок,130
звезда,130
камень,130
рубль,129
художник,129
берёза,128
луна,128
изделие,128
музыка,128
помогать,127
глаз,127
состоять,127
результат,127
доказать,126
дорога,126
слагаемое,126
месяц,125
автор,125
стол,124
поле,124
вставить,124
вещество,124
рука,124
указать,123
предлог,123
произведение,122
ночь,122
родственный,122
представить,122
песня,121
северный,121
свойство,120
умножение,120
последний,119
живой,117
любить,117
отличаться,116
учёный,116
остальной,116
трава,116
озеро,114
коробка,114
расти,114
отвечать,114
выбор,114
выполнять,113
вариант,113
вырезать,113
дать,113
собрать,113
берег,112
дополнить,112
уметь,112
мысль,112
семья,112
урок,111
модель,111
писаться,111
погода,111
масса,111
хотеть,111
тёплый,110
улица,110
лёд,110
понять,110
посмотреть,109
глобус,109
алфавит,109
литр,109
вычесть,109
основа,108
команда,108
прибавить,108
подумать,108
народ,107
купить,107
ударение,107
насекомое,107
подготовиться,106
чертёж,106
числовой,106
уравнение,105
древний,104
природный,104
учиться,104
круг,104
солнечный,104
лежать,103
количество,103
безударный,102
заголовок,102
час,102
появиться,101
цель,101
план,99
оказаться,98
стоять,98
хороший,97
заяц,97
знание,97
фотография,97
вычитание,96
сад,96
чувство,96
вычисление,95
скобка,95
материк,95
красивый,95
проверка,95
работать,94
отгадать,93
провести,93
произнести,93
высота,93
папа,93
движение,93
наблюдать,93
источник,92
картинка,92
графический,91
внимание,91
неделя,91
окончание,91
холодный,90
сложить,90
номер,90
длинный,89
изменить,89
смотреть,89
догадаться,89
голубой,88
поделка,88
шар,88
различаться,88
праздник,88
приставка,88
игрушка,88
путь,88
бабочка,87
соединить,87
привести,87
рыба,87
образовать,87
москва,87
деление,87
считать,86
стрелка,86
тема,86
фигурка,86
ягода,85
добрый,85
земной,85
ширина,85
цветной,85
твёрдый,85
миллиметр,85
лесной,84
заполнить,84
заметить,84
парный,84
игра,83
положить,83
нитка,83
перенос,83
орех,83
составлять,83
окошко,82
запомнить,82
