Слово,Сумма_слов
падеж,325
комплекс,113
склонение,61
неопределённый,58
советский,46
именительный,43
кратное,43
производительность,39
родительный,38
вырёжить,35
координата,35
сообщество,33
дополнение,32
курсор,32
перегной,32
меню,32
подмножество,28
минерал,27
бригада,27
шов,27
разрушитель,26
монастырь,25
относительный,23
граф,22
известняк,21
отрасль,21
венный,20
демократия,20
винительный,20
дательный,19
падежный,19
блицтурнир,19
омоним,19
смешанный,19
потребитель,19
творительный,19
норвегия,19
вирус,18
серебристый,18
ссср,18
растворяться,17
размножение,17
предложный,17
равнобедренный,17
осанка,17
укус,16
масленица,16
винт,16
мышца,16
океанариум,16
растениеводство,16
налог,16
орда,15
пианино,15
афиша,15
управление,15
животноводство,15
великобритания,15
четырёхзначный,15
транспортир,14
знаменатель,14
лесостепь,14
дворянин,14
координатный,14
дюжина,14
полонез,14
почвенный,14
фонетический,14
швеция,14
мутный,14
революция,14
шаль,14
куплет,13
комбайн,13
этюд,13
трехзначный,13
посад,13
тишь,13
монах,13
лежебока,13
производитель,12
шорты,12
гайка,12
питомник,12
панель,12
планка,12
мрамор,12
позвоночный,11
числитель,11
центнер,11
климатический,11
суффиксальный,11
драйвер,11
выдержать,11
романс,11
любитель,11
песенность,11
молодёжь,11
выявить,11
молекула,11
финляндия,10
входящий,10
неизменяемый,10
оседать,10
куница,10
бывший,10
господин,10
владеть,10
сет,10
кровеносный,10
крутой,10
файловый,10
переработка,10
смерть,10
полиция,10
ростов,10
элементный,10
афины,10
росянка,10
прищепка,10
фреска,10
алмаз,9
француз,9
захватить,9
болтунья,9
прибыть,9
тупоугольный,9
кострома,9
перегнивать,9
окоза,9
торжество,9
пищеварительный,9
силач,9
действительность,9
заливное,9
троица,9
осло,9
одноклеточный,9
осадочный,9
повелитель,9
копа,9
натура,9
няня,9
кашлянуть,9
притяжательный,9
зарываться,9
полиэтилен,9
припуск,9
студент,9
кафтан,9
классифицировать,9
паспорт,9
просклонять,9
сельскохозяйственный,9
саженец,9
фотосинтез,9
классификация,9
китёж,8
папье,8
глобальный,8
кукловод,8
гордость,8
апельсиновый,8
соломина,8
пятизначный,8
разучить,8
спарта,8
гусли,8
бодаться,8
закалять,8
шептать,8
пластический,8
земельный,8
состояться,8
хитрость,8
гюнт,8
ракообразный,8
приставочный,8
красавец,8
марьино,8
соблюдаться,8
интерфейс,8
беспомощный,8
чиновник,8
совокупность,8
контраст,8
выборы,8
дума,8
креповый,8
подплыть,8
пастух,8
автомашина,8
майолика,8
композиционный,8
поспешить,8
нидерланды,8
суходольный,8
бутявка,8
углубить,8
карнавальный,8
голландия,8
вернисаж,8
императрица,8
разделочный,7
марионетка,7
пестреть,7
горе,7
толпа,7
замолчать,7
громозек,7
пилон,7
зарплата,7
заявление,7
горючее,7
руководить,7
тля,7
учреждение,7
остроугольный,7
обслуживание,7
